rank,player,runs,fours,sixes,matches,innings,highest,hundreds,fifties,average,strike_rate,team
1,Virat Kohli,8661,771,291,267,259,113,8,63,39.55,132.86,RCB
2,Rohit Sharma,7046,640,302,272,267,109,2,47,29.73,132.1,MI
3,Shikhar Dhawan,6769,768,152,222,221,106,2,51,35.26,127.14,PBKS
4,David Warner,6565,663,236,184,184,126,4,61,40.52,139.77,DC
5,Suresh Raina,5528,506,203,205,200,100,1,39,32.52,136.76,CSK
6,MS Dhoni,5439,375,264,278,242,84,0,24,38.3,137.45,CSK
7,KL Rahul,5222,452,208,145,136,132,5,40,46.21,136.03,DC
8,AB de Villiers,5162,413,251,184,170,133,3,40,39.7,151.68,RCB
9,Ajinkya Rahane,5032,514,123,198,183,105,2,33,30.5,125.02,KKR
10,Chris Gayle,4965,405,357,142,141,175,6,31,39.72,148.96,PBKS
11,Robin Uthappa,4952,481,182,205,197,88,0,27,27.51,130.35,CSK
12,Dinesh Karthik,4842,466,161,257,234,97,0,22,26.32,135.36,RCB
13,Faf du Plessis,4773,439,174,154,147,96,0,39,35.1,135.79,DC
14,Sanju Samson,4704,379,219,177,172,119,3,26,30.95,139.05,RR
15,Ambati Rayudu,4348,359,173,204,187,100,1,22,28.23,127.54,CSK
16,Suryakumar Yadav,4311,454,168,166,150,103,2,29,35.34,148.66,MI
17,Gautam Gambhir,4217,492,59,154,152,93,0,36,31,123.88,DC
18,Jos Buttler,4120,407,185,121,119,124,7,24,40,149.38,GT
19,Manish Pandey,3942,340,115,174,162,114,1,22,29.42,121.52,KKR
20,Shane Watson,3874,376,190,145,141,117,4,21,30.99,137.91,CSK
21,Shubman Gill,3866,372,119,118,115,129,4,26,39.45,138.72,GT
22,Shreyas Iyer,3731,314,152,133,132,97,0,27,34.23,133.35,PBKS
23,Rishabh Pant,3553,319,170,125,123,128,2,19,34.16,147.61,LSG
24,Kieron Pollard,3412,218,223,189,171,87,0,16,28.67,147.32,MI
25,Quinton de Kock,3309,325,134,115,115,140,2,24,30.64,134.02,KKR
26,Ravindra Jadeja,3260,240,117,254,198,77,0,5,27.86,130.24,CSK
27,Yusuf Pathan,3204,262,158,174,154,100,1,13,29.13,142.97,SRH
28,David Miller,3077,220,138,141,134,101,1,13,36.2,138.6,LSG
29,Ishan Kishan,2998,288,134,119,112,106,1,17,29.11,137.65,SRH
30,Wriddhiman Saha,2934,296,87,170,145,115,1,13,24.25,127.57,GT
31,Nitish Rana,2853,261,141,118,112,87,0,20,27.97,136.77,RR
32,Parthiv Patel,2848,365,49,139,137,81,0,13,22.6,120.78,RCB
33,Glenn Maxwell,2819,237,161,141,135,95,0,18,23.89,155.15,PBKS
