player,season,runs,matches,highest,average,strike_rate,fours,sixes,hundreds,fifties,batting_order
Rohit Sharma,2025,418,15,81,29.86,149.29,41,22,0,4,NA
Rohit Sharma,2024,417,14,105,32.08,150,45,23,1,1,NA
Rohit Sharma,2023,332,16,65,20.75,132.8,35,17,0,2,NA
Rohit Sharma,2022,268,14,48,19.14,120.18,28,13,0,0,NA
Rohit Sharma,2021,381,13,63,29.3,127.42,33,14,0,1,NA
Rohit Sharma,2020,332,12,80,27.66,127.69,27,19,0,3,NA
Virat Kohli,2025,657,15,73,54.75,144.71,66,19,0,8,NA
Virat Kohli,2024,741,15,113,61.75,154.7,62,38,1,5,NA
Virat Kohli,2023,639,14,101,53.25,139.82,65,16,2,6,NA
Virat Kohli,2022,341,16,73,22.73,115.99,32,8,0,2,NA
Virat Kohli,2021,405,15,72,28.92,119.46,43,9,0,3,NA
Virat Kohli,2020,466,15,90,42.36,121.35,23,11,0,3,NA
KL Rahul,2025,539,13,112,53.9,149.72,52,21,1,3,NA
KL Rahul,2024,520,14,82,37.14,136.13,45,19,0,4,NA
KL Rahul,2023,274,9,74,34.25,113.22,28,4,0,2,NA
KL Rahul,2022,616,15,103,51.33,135.38,45,30,2,4,NA
KL Rahul,2021,626,13,98,62.6,138.8,48,30,0,6,NA
KL Rahul,2020,670,14,132,55.83,129.34,58,23,1,5,NA
Sanju Samson,2025,285,9,66,35.63,140.39,27,13,0,1,NA
Sanju Samson,2024,531,16,86,48.27,153.47,48,24,0,5,NA
Sanju Samson,2023,362,14,66,30.17,153.39,25,24,0,3,NA
Sanju Samson,2022,458,17,55,28.63,146.79,43,26,0,2,NA
Sanju Samson,2021,484,14,119,40.33,136.72,45,17,1,2,NA
Sanju Samson,2020,375,14,85,28.84,158.89,21,26,0,3,NA
Yashasvi Jaiswal,2025,559,14,75,43,159.71,60,28,0,6,NA
Yashasvi Jaiswal,2024,435,16,104,31.07,155.91,54,16,1,1,NA
Yashasvi Jaiswal,2023,625,14,124,48.08,163.61,82,26,1,5,NA
Yashasvi Jaiswal,2022,258,10,68,25.8,132.99,28,10,0,2,NA
Yashasvi Jaiswal,2021,249,10,50,24.9,148.21,32,10,0,1,NA
Yashasvi Jaiswal,2020,40,3,34,13.33,90.9,2,2,0,0,NA
Shubman Gill,2025,650,15,93,50,155.88,62,24,0,6,NA
Shubman Gill,2024,426,12,104,38.73,147.4,37,15,1,2,NA
Shubman Gill,2023,890,17,129,59.33,157.8,85,33,3,4,NA
Shubman Gill,2022,483,16,96,34.5,132.33,51,11,0,4,NA
Shubman Gill,2021,478,17,57,28.11,118.9,50,12,0,3,NA
Shubman Gill,2020,440,14,70,33.84,117.96,44,9,0,3,NA
Jos Buttler,2025,538,14,97,59.78,163.03,52,24,0,5,NA
Jos Buttler,2024,359,11,107,39.89,140.78,36,12,2,0,NA
Jos Buttler,2023,392,14,95,28,139.01,42,14,0,4,NA
Jos Buttler,2022,863,17,116,57.53,149.05,83,45,4,4,NA
Jos Buttler,2021,254,7,124,36.28,153.01,27,13,1,0,NA
Jos Buttler,2020,328,13,70,32.8,144.49,27,16,0,2,NA
Quinton de Kock,2025,152,8,97,21.71,129.91,9,11,0,1,NA
Quinton de Kock,2024,250,11,81,22.73,134.41,29,9,0,3,NA
Quinton de Kock,2023,143,4,70,35.75,140.2,10,8,0,1,NA
Quinton de Kock,2022,508,15,140,36.29,148.97,47,23,1,3,NA
Quinton de Kock,2021,297,11,70,29.7,116.01,29,7,0,2,NA
Quinton de Kock,2020,503,16,78,35.92,140.5,46,22,0,4,NA
Faf du Plessis,2025,202,9,62,22.44,123.93,18,8,0,2,NA
Faf du Plessis,2024,438,15,64,29.2,161.62,47,21,0,4,NA
